Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune,,
CT-3103A,operator,20240702_145504,X240620002,Post BI,Left (A),4,5,DO721#2,TM038,O-04-28,120,50,40,10.2,9.8,2.25,0,0,1556.7,NaN,39.56388935,-2,-2,-195.002198,-45.123768,54.044,53.187,53.455,14.42440009,,Pass,
CT-3103A,operator,20240702_150329,X240620002,Post BI,Left (A),4,6,DO721#2,TM038,R-03-24,120,50,40,9.9,10.1,3,0,1,1557.5,NaN,35.11212933,-2,-2,-371.343282,-44.134904,56.977,56.934,57.49,13.39205851,,Pass,
CT-3103A,operator,20240702_151125,X240620002,Post BI,Left (A),4,7,DO721#2,TM038,R-04-24,120,50,40,9.9,10.1,4.5,0.5,0,1563.1,NaN,32.80716781,-2,-2,-20000.04239,-23.771683,67.944,68.047,68.61,12.68480757,,Pass,[SMSR Fail]
CT-3103A,operator,20240702_151952,X240620002,Post BI,Left (A),4,8,DO721#2,TM038,L-02-25,120,50,40,9.5,10.5,1.5,0.5,0,1562.8,NaN,33.50109495,-2,-2,-342.353713,-25.822656,65.575,66.036,66.609,11.67549312,,Pass,[SMSR Fail]
CT-3103A,operator,20240705_111511,X240620002,Pre BI,Left (A),4,1,DO721#2,TM038,L-01-23,120,50,40,9.6,10.4,4,0.5,0,1562.6,NaN,36.935093,-2,-2,-290.966418,-28.239872,64.58,63.91,64.005,12.4654903640561,,Pass,
CT-3103A,operator,20240705_112310,X240620002,Pre BI,Left (A),4,2,DO721#2,TM038,K-04-28,120,50,40,9.9,10.1,2.25,1,0,1562.1,NaN,35.13924585,-2,-2,-215.178356,-27.067888,62.661,62.094,62.365,11.6714354044246,,Pass,
CT-3103A,operator,20240705_113139,X240620002,Pre BI,Left (A),4,3,DO721#2,TM038,K-03-17,120,50,40,9.7,10.3,3.75,0,0,1562,NaN,35.01474319,-2,-2,-177.958078,-26.1889,64.34,65.036,65.441,12.1259221879477,,Pass,
CT-3103A,operator,20240705_114036,X240620002,Pre BI,Left (A),4,4,DO721#2,TM038,L-02-19,120,50,40,10.1,9.9,2,0,1.5,1551.7,NaN,39.589698022,-2,-2,-453.759625,-65.267246,53.959,53.561,54.451,14.2188980593721,,Pass,
CT-3103A,operator,20240705_115237,X240620002,Pre BI,Left (A),4,6,DO721#2,TM038,L-01-17,120,50,40,9.8,10.2,1.25,0,3,1557.2,NaN,38.419035575,-2,-2,-294.462661,-44.318029,59.925,61.201,61.954,14.4279707743001,,Pass,
CT-3103A,operator,20240705_121030,X240620002,Pre BI,Left (A),4,7,DO721#2,TM038,L-01-13,120,50,40,10.1,9.9,4.75,0,0,1551.7,NaN,39.040927415,-2,-2,-504.600641,-58.967827,53.12,52.116,53.412,14.6350452435601,,Pass,
CT-3103A,operator,20240705_122227,X240620002,Pre BI,Left (A),4,8,DO721#2,TM038,L-02-24,120,50,40,9.7,10.3,6.25,0,3,1557,NaN,34.56581986,-2,-2,-270.498917,-41.937437,59.918,60.748,61.419,12.9413734048155,,Pass,[SMSR Fail]
CT-3103A,operator,20240710_140346,X240620002,Post BI,Left (A),4,1,DO721#2,TM038,L-01-23,120,50,40,9.6,10.4,4.75,0.5,0,1562.8,NaN,44.37206024,-2,-2,-252.653583,-27.507382,65.335,67.302,67.194,12.4017246192851,,Pass,
CT-3103A,operator,20240710_141239,X240620002,Post BI,Left (A),4,3,DO721#2,TM038,K-03-17,120,50,40,9.6,10.4,4.5,0,0,1562.2,NaN,43.96894685,-2,-2,-157.636241,-25.38316,65.657,64.931,65.427,11.8827206615616,,Pass,
CT-3103A,operator,20240710_142155,X240620002,Post BI,Left (A),4,4,DO721#2,TM038,L-02-19,120,50,40,10.1,9.9,2.75,0,1.5,1551.5,NaN,49.38643946,-2,-2,-407.908024,-65.230619,54.628,54.018,54.863,14.0134683856411,,Pass,
CT-3103A,operator,20240710_143500,X240620002,Post BI,Left (A),4,6,DO721#2,TM038,L-01-17,120,50,40,9.9,10.1,1.75,0,3,1557.3,NaN,47.954029131,-2,-2,-295.846578,-43.109419,60.364,60.291,60.767,14.1330959508137,,Pass,
CT-3103A,operator,20240710_144535,X240620002,Post BI,Left (A),4,7,DO721#2,TM038,L-01-13,120,50,40,10.2,9.8,6.25,0,0,1551.4,NaN,48.52997953,-2,-2,-402.153819,-57.466223,53.935,52.624,54.759,14.4122102377848,,Pass,
CT-3103A,operator,20240710_145455,X240620002,Post BI,Left (A),4,8,DO721#2,TM038,L-02-24,120,50,40,9.9,10.1,1.75,0,0,1557.1,NaN,48.43410777,-2,-2,-207.894554,-45.819634,57.251,58.033,58.426,13.6647216382052,,Pass,
CT-3103A,operator,20240711_094101,X240620002,Post BI,Left (A),4,1,DO721#2,TM038,N-04-02,120,50,40,9.8,10.2,6.25,0.5,0,1550.8,NaN,48.98844629,-2,-2,-353.607204,-54.243268,52.596,51.954,52.276,13.313570316595,97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_095055,X240620002,Post BI,Left (A),4,2,DO721#2,TM038,M-04-22,120,50,40,10.3,9.7,4,0.5,0,1544.8,NaN,48.187134851,-2,-2,-766.854268,-75.119235,53.255,51.821,52.314,13.7155906275088,88_89_90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_095937,X240620002,Post BI,Left (A),4,3,DO721#2,TM038,N-02-23,120,50,40,9.5,10.5,1.5,0,9.5,1545,NaN,20.77398644,-2,-2,-365.370564,-85.41072,52.123,51.943,52.206,14.1207669420264,89_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240711_100813,X240620002,Post BI,Left (A),4,4,DO721#2,TM038,O-04-10,120,50,40,10.5,9.5,2.25,0,2.5,1558.1,NaN,49.97309298,-2,-2,-212.410509,-31.316329,45.019,44.647,45.326,11.4388206837783,40_53_66_93,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_102648,X240620002,Post BI,Left (A),4,5,DO721#2,TM038,O-01-18,120,50,40,10.1,9.9,2.5,2.5,0,1557.1,NaN,47.41943129,-2,-2,-246.535172,-42.999545,52.927,53.845,53.343,13.1166290123451,,Pass,
CT-3103A,operator,20240711_104252,X240620002,Post BI,Left (A),4,6,DO721#2,TM038,L-02-23,120,50,40,10.3,9.7,1.75,3,0,1545.2,NaN,46.97109187,-2,-2,-239.28778,-85.81359,52.845,52.8,53.524,13.7465550861471,90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_110253,X240620002,Post BI,Left (A),4,7,DO721#2,TM038,N-02-22,120,50,40,10.3,9.7,4.75,0,2.5,1545.1,NaN,47.911872414,-2,-2,-292.350363,-86.399581,52.585,51.552,53.129,13.8837994968331,89_90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_111154,X240620002,Post BI,Left (A),4,8,DO721#2,TM038,N-01-08,120,50,40,10,10,3,0,1,1551.4,NaN,46.88684711,-2,-2,-506.385171,-65.81661,59.463,58.362,59.141,14.7892218640569,92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_183254,X240620002,Pre BI,Left (A),4,1,DO721#2,TM038,C-01-05,120,50,40,10.4,9.6,1.75,3,0,1551.4,NaN,45.30498081,-2,-2,-269.989047,-55.891371,51.34,51.23,51.713,14.4231365783038,,Pass,
CT-3103A,operator,20240711_184142,X240620002,Pre BI,Left (A),4,2,DO721#2,TM038,F-02-01,120,50,40,10,10,2.75,0,2,1551,NaN,48.28802314,-2,-2,-398.839678,-63.912135,53.24,52.386,54.253,12.8557661112944,,Pass,
CT-3103A,operator,20240711_185118,X240620002,Pre BI,Left (A),4,3,DO721#2,TM038,F-03-03,120,50,40,10,10,4.25,0,3,1551.1,NaN,48.1851837,-2,-2,-359.798461,-63.362771,54.387,54.354,55.354,13.8284052325208,94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_190112,X240620002,Pre BI,Left (A),4,4,DO721#2,TM038,H-02-09,120,50,40,9.8,10.2,4,0,0,1557.1,NaN,46.429264276,-2,-2,-595.648307,-29.045612,63.988,63.978,64.516,14.1931880405962,,Pass,
CT-3103A,operator,20240711_191047,X240620002,Pre BI,Left (A),4,5,DO721#2,TM038,K-04-01,120,50,40,9.9,10.1,2.75,0.5,0,1551.2,NaN,32.10876715,-2,-2,-395.052106,-60.066563,54.309,53.589,53.859,14.3105446190486,,Pass,[SMSR Fail]
CT-3103A,operator,20240711_192119,X240620002,Pre BI,Left (A),4,6,DO721#2,TM038,K-02-02,120,50,40,9.9,10.1,4.75,0,0,1551.2,NaN,46.9579483,-2,-2,-187.354191,-60.506056,53.894,53.317,54.321,13.0160432255298,96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_193012,X240620002,Pre BI,Left (A),4,7,DO721#2,TM038,Q-04-24,120,50,40,9.8,10.2,6.25,0,2.5,1557.2,NaN,47.7162442,-2,-2,-334.960641,-2.273101,55.545,55.713,56.989,3.99851157402579,,Pass,[Low Power]
CT-3103A,operator,20240711_193831,X240620002,Pre BI,Left (A),4,8,DO721#2,TM038,M-02-29,120,50,40,10,10,3,0,1,1562.1,NaN,40.76341411,-2,-2,-287.251692,-15.384672,74.894,74.618,74.469,11.4256400549709,78_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240712_151838,X240620002,Pre BI,Left (A),4,1,DO721#2,TM039,K-04-18,120,50,40,10.2,9.8,2,1,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,50.41,NaN,1.78892498743444,,Pass,[Low Power]
CT-3103A,operator,20240712_152527,X240620002,Pre BI,Left (A),4,2,DO721#2,TM039,O-01-06,120,50,40,11.2,8.8,3.25,2,0,1551.2,NaN,42.4013218,-2,-2,-2617.306774,-8.462642,51.7,50.934,51.42,3.8273971775742,,Pass,[Low Power]
CT-3103A,operator,20240712_153348,X240620002,Pre BI,Left (A),4,3,DO721#2,TM039,I-02-08,120,50,40,9.8,10.2,2.5,0.5,0,1544.9,NaN,21.75562098,-2,-2,-1035.918365,-92.589122,55.336,53.405,53.704,14.1979359613617,89_90_91_92_93_94,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240712_153401,X240620002,Pre BI,Left (A),4,4,DO721#2,TM039,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240712_153523,X240620002,Pre BI,Left (A),4,5,DO721#2,TM039,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240712_153536,X240620002,Pre BI,Left (A),4,6,DO721#2,TM039,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240712_153549,X240620002,Pre BI,Left (A),4,7,DO721#2,TM039,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240712_153602,X240620002,Pre BI,Left (A),4,8,DO721#2,TM039,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240712_155518,X240620002,Pre BI,Left (A),4,1,DO721#2,TM039,K-04-18,120,50,40,10.3,9.7,4.5,5,0,1550.5,NaN,53.1633247,-2,-2,-397.747121,0.766732,14.497,52.738,52.609,1.71207323830273,,Pass,[Low Power]
CT-3103A,operator,20240712_160443,X240620002,Pre BI,Left (A),4,2,DO721#2,TM039,O-01-06,120,50,40,11.2,8.8,3.25,2,0,1551.2,NaN,42.4435408,-2,-2,-2616.286976,-8.499266,51.672,50.868,51.374,3.83041959372387,,Pass,[Low Power]
CT-3103A,operator,20240712_161349,X240620002,Pre BI,Left (A),4,3,DO721#2,TM039,I-02-08,120,50,40,9.9,10.1,1.75,0.5,0,1545,NaN,22.81048463,-2,-2,-484.934339,-97.496806,55.104,54.176,54.573,14.6627256772844,91_92_93_94_95_96_97,Fail,[SMSR Fail][Coarse Tuning fail]
CT-3103A,operator,20240716_150532,X240704001,Pre BI,Left (A),4,1,DO721#2,TM039,M-01-10,120,50,40,10.2,9.8,4.75,0,2,1551.2,NaN,47.91810529,-2,-2,-587.745337,-61.714665,61.194,63.397,63.671,14.3161775566977,,Pass,
CT-3103A,operator,20240716_151535,X240704001,Pre BI,Left (A),4,2,DO721#2,TM039,M-01-23,120,50,40,10.1,9.9,3.25,0,1.5,1562.1,NaN,40.24792962,-2,-2,-411.440677,-21.684087,70.605,77.259,75.081,13.5780790419146,,Pass,
CT-3103A,operator,20240716_152345,X240704001,Pre BI,Left (A),4,3,DO721#2,TM039,F-01-11,120,50,40,10.3,9.7,2,0,1.5,1550.6,NaN,47.31966831,-2,-2,-472.770364,-63.692387,51.998,51.543,52.377,13.671378746336,,Pass,
CT-3103A,operator,20240716_154007,X240704001,Pre BI,Left (A),4,4,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4,0,0,1556.6,NaN,45.24819433,-2,-2,-1212.732866,-12.381463,66.232,66.36,67.09,9.93897867483119,,Pass,
CT-3103A,operator,20240716_154820,X240704001,Pre BI,Left (A),4,5,DO721#2,TM039,M-01-11,120,50,40,8.7,11.3,0.5,0,0,1559.6,NaN,2.3484301,-2,-2,-31.662712,4.319309,0,78.948,30.964,0.0784879231966361,,Pass,[SMSR Fail][Low Power]
CT-3103A,operator,20240716_164853,X240704001,Pre BI,Left (A),4,4,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4,0,0,1556.6,NaN,45.182728,-2,-2,-1209.746464,-12.747709,66.422,66.991,67.307,9.76512016942603,,Pass,
CT-3103A,operator,20240716_165210,X240704001,Pre BI,Left (A),4,5,DO721#2,TM039,M-01-11,120,50,40,11.6,8.4,0.75,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,0.0666821319379729,,Pass,[Low Power]
CT-3103A,operator,20240719_094916,X240704001,Post BI,Left (A),4,1,DO721#2,TM039,M-01-10,120,50,40,10.1,9.9,6.25,0,1.5,1551.1,NaN,40.81066031,-2,-2,-577.110972,-61.641418,61.287,61.579,61.848,14.2853466855135,,Pass,
CT-3103A,operator,20240719_100333,X240704001,Post BI,Left (A),4,2,DO721#2,TM039,M-01-23,120,50,40,10.1,9.9,3.25,0,1.5,1562.1,NaN,42.22511097,-2,-2,-383.43441,-22.086957,70.914,75.248,75.224,13.4857422803917,,Pass,
CT-3103A,operator,20240719_103308,X240704001,Post BI,Left (A),4,3,DO721#2,TM039,F-01-11,120,50,40,10.1,9.9,2.5,0,1.5,1550.5,NaN,47.27094526,-2,-2,-367.737812,-65.01087,52.185,51.244,52.103,13.7185907790828,,Pass,
CT-3103A,operator,20240719_104924,X240704001,Post BI,Left (A),4,4,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4.25,0,0,1556.6,NaN,40.8651643,-2,-2,-1203.081803,-13.223827,67.051,67.163,68.446,9.8721793816227,,Pass,
CT-3103A,operator,20240719_105240,X240704001,Post BI,Left (A),4,5,DO721#2,TM039,M-01-11,120,50,40,9.2,10.8,0.75,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,85.521,NaN,0.0750424801088885,,Pass,[Low Power]
CT-3103A,operator,20240719_113813,X240704001,Post BI,Left (A),4,1,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4.25,0,0,1556.6,NaN,42.5605157,-2,-2,-1195.069635,-13.663321,67.34,68.079,68.222,9.7220437816133,,Pass,
CT-3103A,operator,20240719_114053,X240704001,Post BI,Left (A),4,2,DO721#2,TM039,M-01-11,120,50,40,11.8,8.2,0.75,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,84.211,NaN,0.0715692063015308,,Pass,[Low Power]
CT-3103A,operator,20240719_120400,X240704001,Post BI,Left (A),4,1,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4.25,0,0,1556.6,NaN,45.15485285,-2,-2,-1193.758566,-13.480199,67.55,68.212,68.271,9.68208443439692,,Pass,
CT-3103A,operator,20240719_120641,X240704001,Post BI,Left (A),4,2,DO721#2,TM039,M-01-11,120,50,40,12.8,7.2,0.75,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,0.0723039372992411,,Pass,[Low Power]
CT-3103A,operator,20240719_140744,X240704001,Post BI,Left (A),4,1,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4.25,0,0,1556.6,NaN,45.25154241,-2,-2,-1192.483818,-13.846444,67.611,68.315,68.614,9.66981108704881,,Pass,
CT-3103A,operator,20240719_141024,X240704001,Post BI,Left (A),4,2,DO721#2,TM039,M-01-11,120,50,40,12,8,0.75,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,79.564,NaN,0.0768069477321777,,Pass,[Low Power]
CT-3103A,operator,20240720_114150,X240704001,Post BI,Left (A),4,2,DO721#2,TM039,M-01-11,120,50,40,9.2,10.8,1,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,0.0683519751145872,,Pass,[Low Power]
CT-3103A,operator,20240720_121618,X240704001,Post BI,Left (A),4,1,DO721#2,TM039,M-01-17,120,50,40,10.1,9.9,4.25,0,0,1556.6,NaN,42.0905714,-2,-2,-1191.318501,-12.930831,67.584,68.281,68.515,9.68973788228974,,Pass,
CT-3103A,operator,20240720_121858,X240704001,Post BI,Left (A),4,2,DO721#2,TM039,M-01-11,120,50,40,11.6,8.4,1,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,0.0705617342516402,,Pass,[Low Power]
CT-3103A,operator,20240724_103625,X240704001,Post BI,Left (A),4,1,DO721#2,TM038,M-01-23,120,50,40,11.8,8.2,4.75,3.5,0,1557.1,NaN,43.25635967,-2,-2,-1272.860682,-8.975385,71.146,71.161,71.328,6.2780200605659,93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail]
CT-3103A,operator,20240724_104532,X240704001,Post BI,Left (A),4,2,DO721#2,TM038,F-01-23,120,50,40,9.8,10.2,1.75,0,1.5,1562.5,NaN,45.1675247,-2,-2,-274.213671,-28.313121,62.974,63.114,63.25,12.4950187575626,,Pass,
CT-3103A,operator,20240724_105416,X240704001,Post BI,Left (A),4,3,DO721#2,TM038,F-01-19,120,50,40,10.5,9.5,1.75,0.5,0,1556.7,NaN,46.68988458,-2,-2,-397.783529,-44.720899,56.389,56.543,56.714,13.0079166554036,,Pass,
CT-3103A,operator,20240724_110523,X240704001,Post BI,Left (A),4,4,DO721#2,TM038,F-01-11,120,50,40,9.9,10.1,1.75,0,1.5,1550.8,NaN,46.16215704,-2,-2,-365.443411,-62.703526,53.687,53.098,53.617,12.9142885484908,93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240724_111557,X240704001,Post BI,Left (A),4,5,DO721#2,TM038,M-01-13,120,50,40,10,10,6.25,0.5,0,1551.1,NaN,47.456322681,-2,-2,-479.690003,-55.342003,58.375,58.368,58.964,14.4798444525816,92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240724_150451,X240704001,Post BI,Left (A),4,2,DO721#2,TM038,M-01-24,120,50,40,10,10,4.25,0,3,1562.3,NaN,37.50848568,-2,-2,-244.27718,-16.117163,56.75,58.124,62.448,10.8068629674447,93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240724_151340,X240704001,Post BI,Left (A),4,3,DO721#2,TM038,F-01-13,120,50,40,10,10,3.75,0,1.5,1550.8,NaN,47.27943655,-2,-2,-619.939819,-61.568171,54.374,53.799,55.141,13.0009534093571,90_91_92_93_94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20241024_114221,X240704001,Pre BI,Rignt (B),4,2,DO721#1,TM038,M-01-24,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_114233,X240704001,Pre BI,Rignt (B),4,3,DO721#1,TM038,F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
