Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240719_172912,X240704001,Pre BI,Left (A),97,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,48.232737112,-2,-2,-512.685685,-48.493221,60.123,61.495,60.964,14.8075734405679,,Pass,
CT-3103A,operator,20240719_181534,X240704001,Pre BI,Left (A),97,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,34.7068904,-2,-2,-557.808904,-48.456597,60.146,61.497,60.974,14.8159783178902,,Pass,[SMSR Fail]
CT-3103A,operator,20240805_160032,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,1,120,50,40,10,10,4.5,1,0,1557,NaN,34.68354681,-2,-2,-589.274976,-44.391276,58.308,62.505,59.584,14.1374765060804,,Pass,[SMSR Fail]
CT-3103A,operator,20240805_163252,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.63594469,-2,-2,-593.426754,-45.013894,60.097,61.338,60.927,14.8785028125665,,Pass,
CT-3103A,operator,20240809_143832,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.09187839,-2,-2,-620.631792,-45.526638,60.171,61.528,60.978,14.7764419976119,,Pass,
CT-3103A,operator,20240819_171941,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.3191382,-2,-2,-338.05627,-30.107722,60.999,61.597,61.366,13.7220195237387,,Pass,
CT-3103A,operator,20240819_182416,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.36591362,-2,-2,-336.635916,-30.290845,61.046,61.612,61.367,13.7269789579733,,Pass,
CT-3103A,operator,20240820_102453,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,44.8643099,-2,-2,-339.039572,-31.38958,61.077,61.556,61.449,13.7446792956454,,Pass,
CT-3103A,operator,20240828_110116,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,45.97303051,-2,-2,-332.047115,-32.488315,61.079,61.535,61.423,13.8318005803133,,Pass,,55.01012
CT-3103A,operator,20240828_143056,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,46.73097979,-2,-2,-329.024333,-32.964432,61.114,61.561,61.468,13.7946076066262,,Pass,,55.00423
CT-3103A,operator,20240828_150810,X240704001,Pre BI,Left (A),97,2,DO721#2,TM038,TM038-G-04-39,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.78097012,-2,-2,-602.786429,-47.760732,59.851,60.823,60.793,14.9363406140605,,Pass,,54.88683
CT-3103A,operator,20240828_154101,X240704001,Pre BI,Left (A),97,2,DO721#2,TM038,TM038-G-04-39,120,50,40,10,10,4.25,1,0,1557.2,NaN,31.22678984,-2,-2,-564.874208,-47.943853,59.975,61.218,60.913,14.975721082309,,Pass,[SMSR Fail],55.01931
CT-3103A,operator,20240828_164603,X240704001,Pre BI,Left (A),97,2,DO721#2,TM038,TM038-G-04-39,120,50,40,10,10,4.25,1,0,1557.2,NaN,34.7829297,-2,-2,-546.40969,-48.017104,60.022,61.316,60.943,14.9694090751014,,Pass,[SMSR Fail],54.99435
CT-3103A,operator,20240828_190508,X240704001,Pre BI,Left (A),97,2,DO721#2,TM038,TM038-G-04-39,120,50,40,10,10,4.25,1,0,1557.2,NaN,36.84336493,-2,-2,-566.658739,-48.236849,60.063,61.375,60.968,14.9804745692184,,Pass,,54.99664
CT-3103A,operator,20240830_163804,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240830_175316,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,5,15,0.5,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,0.000345111052901409,,Pass,[Low Power],55.04375
CT-3103A,operator,20240830_183919,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,5,15,1.5,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,25.149,NaN,0.0666902836051671,,Pass,[Low Power],55.03271
CT-3103A,operator,20240902_102042,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240902_103158,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240902_141743,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10.3,9.7,3,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,-34.25,NaN,0.516395317341905,,Pass,[Low Power],54.95101
CT-3103A,operator,20240902_145508,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10.6,9.4,3,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,68.234,NaN,13.3265557351096,,Pass,,55.02169
CT-3103A,operator,20240902_160155,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,11.6,8.4,1.5,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,55.718,NaN,14.3233648953375,,Pass,,55.0078
CT-3103A,operator,20240902_164043,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,12.9,7.1,0.5,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,52.59,NaN,9.35931516235735,,Pass,,55.01101
CT-3103A,operator,20240902_171623,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,12.2,7.8,1.5,0,0,1552.3,NaN,14.23780592,-2,-2,-3653.619904,-5.125488,55.654,54.331,57.972,13.1913786432457,,Pass,[SMSR Fail],54.94207
CT-3103A,operator,20240902_173225,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,8.1,11.9,4,0,0,1562.5,NaN,46.01745942,-2,-2,-3772.134194,-5.198644,65.625,66.497,66.245,10.9122111922597,,Pass,,54.96954
CT-3103A,operator,20240902_174233,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,7.9,12.1,4,0,0,1562.4,NaN,45.36725917,-2,-2,-2567.453776,-5.308379,66.631,67.787,66.625,8.53238653988058,,Pass,,54.94399
CT-3103A,operator,20240903_110555,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3.5,0,0,1557.3,NaN,43.58514657,-2,-2,-3946.5148,-5.308379,60.168,59.83,60.128,10.3219944873739,,Pass,,54.95699
CT-3103A,operator,20240903_121144,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10.7,9.3,4,0,0,1557.3,NaN,6.54305268,-2,-2,-3473.48419,-5.198644,59.798,59.568,58.942,8.76710802842645,,Pass,[SMSR Fail],54.96795
CT-3103A,operator,20240903_124518,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,8.3,11.7,4.5,0,0,1562.4,NaN,45.68038145,-2,-2,-2139.952267,-5.198644,65.69,66.51,65.429,7.52381836079841,,Pass,[Low Power],55.01879
CT-3103A,operator,20240903_133345,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10.8,9.2,7,0,0,1557.2,NaN,34.14703845,-2,-2,-8097.407408,-5.235222,60.41,61.233,62.732,5.6837613543667,,Pass,[SMSR Fail][Low Power],54.96572
CT-3103A,operator,20240903_140559,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,11,9,8.5,0,0,1552.2,NaN,5.720635,-2,-2,-9118.872695,-5.308379,60.575,58.753,62.438,7.44557786461646,,Pass,[SMSR Fail][Low Power],55.03735
CT-3103A,operator,20240903_145039,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.8,10.2,1.25,0,0,1557.3,NaN,40.24455533,-2,-2,-14160.510153,-5.344957,56.256,56.682,57.681,10.4341181661765,,Pass,,54.96627
CT-3103A,operator,20240903_152128,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,14.6,5.4,1.5,0,0,1541.7,NaN,2.99027521,-2,-2,-7295.081392,-5.418114,53.734,64.394,52.014,8.65262680974614,,Pass,[SMSR Fail],54.95733
CT-3103A,operator,20240903_154046,X240704001,Pre BI,Rignt (B),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,12.7,7.3,0.5,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,72.84,NaN,10.4376573440464,,Pass,,54.97353
CT-3103A,operator,20240903_154310,X240704001,Pre BI,Rignt (B),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,12.8,7.2,4,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,54.397,NaN,12.541282719911,,Pass,,55.0057
CT-3103A,operator,20240903_161757,X240704001,Pre BI,Rignt (B),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.25,0,0,1557.4,NaN,47.57407583,-2,-2,-3720.996669,-5.271801,58.205,60.83,60.815,14.0626875237107,,Pass,,54.98608
CT-3103A,operator,20240903_174839,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,3,0,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,60.198,NaN,9.60363889361645,,Pass,,55.05437
CT-3103A,operator,20240904_094717,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,1,0.5,0,1557.3,NaN,31.7347445,-2,-2,-16698.941588,-5.015753,56.147,54.902,55.891,9.80688062827327,,Pass,[SMSR Fail],55.02273
CT-3103A,operator,20240904_100912,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,10.2,9.8,4.25,0.5,0,1556.6,NaN,36.6119618,-2,-2,-14502.379112,-8.198059,55.376,55,54.86,14.1008670502933,,Pass,,54.93368
CT-3103A,operator,20240904_102237,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,13.5,6.5,2.25,0,10,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,-0.0414640093208422,,Pass,[Low Power],54.96709
CT-3103A,operator,20240904_132114,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,8.8,11.2,4.75,0,0.5,1554.4,NaN,22.753206,-2,-2,-4362.359177,-5.89363,52.015,52.057,52.849,4.89166237212578,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_35_36_37_38_89_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Low Power][Coarse Tuning fail],55.02636
CT-3103A,operator,20240904_135534,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,5.75,0,2.5,1554.3,NaN,36.2424622,-2,-2,-12547.944672,-4.393923,53.087,52.101,52.384,3.6536900754626,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_83_88_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.00588
CT-3103A,operator,20240904_151354,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,11.7,8.3,7.5,0,10,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,25.68,NaN,-0.0585633435670599,,Pass,[Low Power],55.00945
CT-3103A,operator,20240904_152059,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,2.25,0,7.5,1554.2,NaN,0,-2,-2,-4244.578071,-5.674161,50.259,50.443,50.821,4.98353185796524,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Low Power][Coarse Tuning fail],55.01809
CT-3103A,operator,20240904_153003,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,3,9.5,0,1554.4,NaN,0,-2,-2,-12781.155296,-4.576814,53.247,52.157,52.918,8.15645357516116,,Pass,[SMSR Fail],54.93929
CT-3103A,operator,20240904_153220,X240704001,Pre BI,Left (A),97,4,DO721#1,TM038,TM038-G-04-39,120,50,40,5,15,3.75,0,9.5,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0,NaN,-0.00519460628869391,,Pass,[Low Power],54.99187
CT-3103A,operator,20240904_153942,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,7.1,12.9,1.75,0,4.5,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,60.163,NaN,-0.00920414491268111,,Pass,[Low Power],54.94933
CT-3103A,operator,20240904_154633,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,2.5,0,7.5,1554.2,NaN,0,-2,-2,-4216.974601,-5.564426,50.235,50.334,50.874,5.0809596312534,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_41_42_43_44_90_91_92_93_94_95_96_97,Fail,[SMSR Fail][Low Power][Coarse Tuning fail],54.93539
CT-3103A,operator,20240904_155156,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,3,9.5,0,1554.4,NaN,0,-2,-2,-12791.131623,-4.430502,52.814,53.159,52.833,5.45085247555643,,Pass,[SMSR Fail][Low Power],54.97543
CT-3103A,operator,20240904_155414,X240704001,Pre BI,Left (A),97,4,DO721#1,TM038,TM038-G-04-39,120,50,40,11.6,8.4,6.75,0,4.5,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,0.469,NaN,-0.0102309080224004,,Pass,[Low Power],54.98669
CT-3103A,operator,20240904_155641,X240704001,Pre BI,Left (A),97,5,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240904_155653,X240704001,Pre BI,Left (A),97,6,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240904_155839,X240704001,Pre BI,Left (A),97,7,DO721#1,TM038,TM038-G-04-39,120,50,40,14.8,5.2,2.75,0.5,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,NaN,NaN,-0.0377298038212489,,Pass,[Low Power],54.98632
CT-3103A,operator,20240904_165528,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.4,10.6,1.5,0.5,0,1561.9,NaN,30.894594,-2,-2,-7498.38911,-6.076521,71.032,71.109,68.959,14.6376117679791,,Pass,[SMSR Fail],55.05129
CT-3103A,operator,20240904_165945,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,2.25,0,7.5,1554.2,NaN,0,-2,-2,-4240.509123,-5.308379,50.293,50.306,50.641,5.04030210655122,,Pass,[SMSR Fail][Low Power],54.93716
CT-3103A,operator,20240904_170503,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.2,9.8,7,0,2.5,1554.3,NaN,28.6818189,-2,-2,-12473.602779,-4.211032,54.131,53.278,54.058,5.81687918390443,,Pass,[SMSR Fail][Low Power],55.02804
CT-3103A,operator,20240904_172527,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,1.75,0.5,0,1561.9,NaN,33.7829751,-2,-2,-7462.277077,-6.222835,69.603,69.593,67.637,14.6899537421478,,Pass,[SMSR Fail],54.97094
CT-3103A,operator,20240904_172941,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,2.5,0,7.5,1554.2,NaN,0,-2,-2,-4213.822074,-5.344957,50.396,50.423,50.902,5.04394453434268,,Pass,[SMSR Fail][Low Power],54.98214
CT-3103A,operator,20240904_173357,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,6.5,0,2.5,1554.3,NaN,37.1170485,-2,-2,-12531.375512,-4.393923,54.154,52.672,53.509,6.5427203969813,,Pass,[Low Power],54.98055
CT-3103A,operator,20240904_174753,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.4,10.6,1.5,0.5,0,1561.9,NaN,31.701984,-2,-2,-7489.073556,-6.1131,70.995,71.094,68.93,14.685582828798,,Pass,[SMSR Fail],54.95901
CT-3103A,operator,20240904_175208,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,2.5,3,0,1554.2,NaN,40.5997481,-2,-2,-4269.583151,-5.235222,50.897,51.001,50.997,5.06123316011192,,Pass,[Low Power],54.94918
CT-3103A,operator,20240904_175720,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,6.25,0,2.5,1554.3,NaN,29.5601277,-2,-2,-12593.509629,-4.284188,53.977,53.058,52.73,6.55887900971917,,Pass,[SMSR Fail][Low Power],55.02251
CT-3103A,operator,20240904_181404,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,1.75,0.5,0,1561.9,NaN,32.314253,-2,-2,-7466.272451,-6.149678,70.25,70.428,68.123,14.6587034325291,,Pass,[SMSR Fail],54.96697
CT-3103A,operator,20240904_181837,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,6.25,3.5,0,1554.3,NaN,4.1724538,-2,-2,-2467.419486,-6.332569,53.329,52.961,53.236,3.4064007770095,,Pass,[SMSR Fail][Low Power],54.98937
CT-3103A,operator,20240904_182410,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,6,0,2.5,1554.3,NaN,29.3234685,-2,-2,-12651.497498,-4.759705,53.858,53.175,52.496,3.17372134246956,,Pass,[SMSR Fail][Low Power],55.02972
CT-3103A,operator,20240904_184948,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,1.5,0.5,0,1561.9,NaN,32.3875119,-2,-2,-7474.300452,-7.100712,70.177,70.101,68.378,14.7195463169134,,Pass,[SMSR Fail],55.03738
CT-3103A,operator,20240904_185404,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,2.5,0,7.5,1554.2,NaN,43.5860774,-2,-2,-4224.306438,-6.295991,50.364,50.504,50.83,4.96436178917931,,Pass,[Low Power],54.96758
CT-3103A,operator,20240904_185916,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,6.5,0,2.5,1554.3,NaN,30.2049042,-2,-2,-12530.490756,-5.308379,54.014,52.786,53.153,6.3974649655432,,Pass,[SMSR Fail][Low Power],55.01922
CT-3103A,operator,20240904_191051,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,1.75,0.5,0,1561.9,NaN,27.3775591,-2,-2,-7476.023398,-6.881242,70.245,70.633,68.054,14.6929250454485,,Pass,[SMSR Fail],54.95431
CT-3103A,operator,20240904_191508,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,2.5,0,7.5,1554.2,NaN,40.3717499,-2,-2,-4217.67123,-6.222835,50.408,50.475,50.774,5.00057383114387,,Pass,[Low Power],54.97024
CT-3103A,operator,20240904_192023,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,6.5,0,2.5,1554.3,NaN,29.5115064,-2,-2,-12519.090436,-5.235222,54.169,52.875,53.114,3.17564293823355,,Pass,[SMSR Fail][Low Power],55.0122
CT-3103A,operator,20240905_085817,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,1.5,0.5,0,1561.9,NaN,28.6758632,-2,-2,-7481.558714,-6.881242,70.164,70.064,68.331,14.7174755823737,,Pass,[SMSR Fail],55.02242
